timestamp,timestamp_unix,d_3-2,dt_3-2,d_3-4,dt_3-4,d_3-6,dt_3-6,d_4-3,dt_4-3
2023-04-06 05:58:15.492731,1680760695,266,272,165,210,151,157,0,0
2023-04-06 06:28:15.492731,1680762495,266,288,165,226,151,175,0,0
2023-04-06 06:58:15.492731,1680764295,266,276,165,223,151,167,0,0
2023-04-06 07:28:15.492731,1680766095,266,262,165,189,151,155,0,0
2023-04-06 07:58:15.492731,1680767895,266,260,165,185,151,158,0,0
2023-04-06 08:28:15.492731,1680769695,266,278,165,184,151,152,0,0
2023-04-06 08:58:15.492731,1680771495,266,255,165,182,151,149,0,0
2023-04-06 09:28:15.492731,1680773295,266,241,165,180,151,147,0,0
2023-04-06 09:58:15.492731,1680775095,266,240,165,187,151,158,0,0
2023-04-06 10:28:15.492731,1680776895,266,255,165,184,151,152,0,0
2023-04-06 10:58:15.492731,1680778695,266,232,165,180,151,146,0,0
2023-04-06 11:28:15.492731,1680780495,266,228,165,176,151,149,0,0
2023-04-06 11:58:15.492731,1680782295,266,226,165,180,151,159,0,0
2023-04-06 12:28:15.492731,1680784095,266,241,165,191,151,159,0,0
2023-04-06 12:58:15.492731,1680785895,266,246,165,203,151,150,0,0
2023-04-06 13:28:15.492731,1680787695,266,246,165,205,151,148,0,0
2023-04-06 13:58:15.492731,1680789495,266,245,165,213,151,157,0,0
2023-04-06 14:28:15.492731,1680791295,266,247,165,221,151,160,0,0
2023-04-06 14:58:15.492731,1680793095,266,261,165,220,151,150,0,0
2023-04-06 15:28:15.492731,1680794895,266,258,165,233,151,165,0,0
2023-04-06 15:58:15.492731,1680796695,266,272,165,215,151,178,0,0
2023-04-06 16:28:15.492731,1680798495,266,285,165,215,151,174,0,0
2023-04-06 16:58:15.492731,1680800295,266,308,165,200,151,163,0,0
2023-04-06 17:28:15.492731,1680802095,266,277,165,185,151,163,0,0
2023-04-06 17:58:15.492731,1680803895,266,240,165,175,151,151,0,0
2023-04-06 18:28:15.492731,1680805695,266,224,165,164,151,143,0,0
2023-04-06 18:58:15.492731,1680807495,266,212,165,158,151,131,0,0
2023-04-06 19:28:15.492731,1680809295,266,197,165,164,151,128,0,0
2023-04-06 19:58:15.492731,1680811095,266,199,165,153,151,127,0,0
2023-04-06 20:28:15.492731,1680812895,266,193,165,147,151,120,0,0
2023-04-06 20:58:15.492731,1680814695,266,194,165,146,151,118,0,0
2023-04-06 21:28:15.492731,1680816495,266,197,165,146,151,113,0,0
2023-04-06 21:58:15.492731,1680818295,266,192,165,143,151,115,0,0
2023-04-06 22:28:15.492731,1680820095,266,183,165,140,151,118,0,0
2023-04-06 22:58:15.492731,1680821895,266,183,165,127,151,117,0,0
2023-04-06 23:28:15.492731,1680823695,266,185,165,134,151,110,0,0
2023-04-06 23:58:15.492731,1680825495,266,186,165,133,151,117,0,0
2023-04-07 00:28:15.492731,1680827295,266,182,165,133,151,106,0,0
2023-04-07 00:58:15.492731,1680829095,266,179,165,135,151,104,0,0
2023-04-07 01:28:15.492731,1680830895,266,182,165,119,151,110,0,0
2023-04-07 01:58:15.492731,1680832695,266,183,165,114,151,111,0,0
2023-04-07 02:28:15.492731,1680834495,266,179,165,115,151,99,0,0
2023-04-07 02:58:15.492731,1680836295,266,179,165,136,151,89,0,0
2023-04-07 03:28:15.492731,1680838095,266,187,165,127,151,109,0,0
2023-04-07 03:58:15.492731,1680839895,266,187,165,141,151,110,0,0
2023-04-07 04:28:15.492731,1680841695,266,199,165,146,151,120,0,0
2023-04-07 04:58:15.492731,1680843495,266,211,165,157,151,122,0,0
2023-04-07 05:28:15.492731,1680845295,266,230,165,177,151,141,0,0
2023-04-07 05:58:15.492731,1680847095,266,249,165,196,151,147,0,0
2023-04-07 06:28:15.492731,1680848895,266,262,165,191,151,154,0,0
2023-04-07 06:58:15.492731,1680850695,266,246,165,189,151,160,0,0
2023-04-07 07:28:15.492731,1680852495,266,232,165,182,151,152,0,0
2023-04-07 07:58:15.492731,1680854295,266,239,165,175,151,167,0,0
2023-04-07 08:28:15.492731,1680856095,266,240,165,174,151,141,0,0
2023-04-07 08:58:15.492731,1680857895,266,239,165,176,151,139,0,0
2023-04-07 09:28:15.492731,1680859695,266,229,165,175,151,153,0,0
2023-04-07 09:58:15.492731,1680861495,266,242,165,177,151,159,0,0
2023-04-07 10:28:15.492731,1680863295,266,270,165,181,151,151,0,0
2023-04-07 10:58:15.492731,1680865095,266,247,165,180,151,146,0,0
2023-04-07 11:28:15.492731,1680866895,266,231,165,180,151,154,0,0
2023-04-07 11:58:15.492731,1680868695,266,227,165,175,151,145,0,0
2023-04-07 12:28:15.492731,1680870495,266,240,165,186,151,147,0,0
2023-04-07 12:58:15.492731,1680872295,266,245,165,190,151,156,0,0
2023-04-07 13:28:15.492731,1680874095,266,242,165,201,151,151,0,0
2023-04-07 13:58:15.492731,1680875895,266,256,165,209,151,157,0,0
2023-04-07 14:28:15.492731,1680877695,266,255,165,214,151,153,0,0
2023-04-07 14:58:15.492731,1680879495,266,251,165,205,151,150,0,0
2023-04-07 15:28:15.492731,1680881295,266,261,165,231,151,154,0,0
2023-04-07 15:58:15.492731,1680883095,266,267,165,217,151,158,0,0
2023-04-07 16:28:15.492731,1680884895,266,268,165,202,151,149,0,0
2023-04-07 16:58:15.492731,1680886695,266,278,165,194,151,155,0,0
2023-04-07 17:28:15.492731,1680888495,266,271,165,187,151,151,0,0
2023-04-07 17:58:15.492731,1680890295,266,246,165,172,151,140,0,0
2023-04-07 18:28:15.492731,1680892095,266,212,165,166,151,133,0,0
2023-04-07 18:58:15.492731,1680893895,266,202,165,161,151,137,0,0
2023-04-07 19:28:15.492731,1680895695,266,199,165,160,151,127,0,0
