timestamp,timestamp_unix,d_5-4,dt_5-4,d_5-6,dt_5-6,d_6-0,dt_6-0,d_6-3,dt_6-3
2023-04-06 18:09:12.673211,1680804552,167,190,124,138,40,47,0,0
2023-04-06 18:39:12.673211,1680806352,167,177,124,118,40,47,0,0
2023-04-06 19:09:12.673211,1680808152,167,176,124,120,40,36,0,0
2023-04-06 19:39:12.673211,1680809952,167,173,124,119,40,37,0,0
2023-04-06 20:09:12.673211,1680811752,167,170,124,116,40,38,0,0
2023-04-06 20:39:12.673211,1680813552,167,166,124,115,40,36,0,0
2023-04-06 21:09:12.673211,1680815352,167,139,124,114,40,39,0,0
2023-04-06 21:39:12.673211,1680817152,167,171,124,112,40,33,0,0
2023-04-06 22:09:12.673211,1680818952,167,154,124,119,40,31,0,0
2023-04-06 22:39:12.673211,1680820752,167,147,124,112,40,30,0,0
2023-04-06 23:09:12.673211,1680822552,167,146,124,110,40,28,0,0
2023-04-06 23:39:12.673211,1680824352,167,130,124,118,40,29,0,0
2023-04-07 00:09:12.673211,1680826152,167,161,124,115,40,30,0,0
2023-04-07 00:39:12.673211,1680827952,167,143,124,104,40,28,0,0
2023-04-07 01:09:12.673211,1680829752,167,141,124,98,40,26,0,0
2023-04-07 01:39:12.673211,1680831552,167,142,124,93,40,28,0,0
2023-04-07 02:09:12.673211,1680833352,167,137,124,92,40,29,0,0
2023-04-07 02:39:12.673211,1680835152,167,145,124,95,40,27,0,0
2023-04-07 03:09:12.673211,1680836952,167,138,124,99,40,29,0,0
2023-04-07 03:39:12.673211,1680838752,167,145,124,96,40,32,0,0
2023-04-07 04:09:12.673211,1680840552,167,143,124,105,40,35,0,0
2023-04-07 04:39:12.673211,1680842352,167,136,124,109,40,33,0,0
2023-04-07 05:09:12.673211,1680844152,167,138,124,115,40,34,0,0
2023-04-07 05:39:12.673211,1680845952,167,150,124,129,40,35,0,0
2023-04-07 06:09:12.673211,1680847752,167,161,124,129,40,36,0,0
2023-04-07 06:39:12.673211,1680849552,167,178,124,129,40,38,0,0
2023-04-07 07:09:12.673211,1680851352,167,187,124,127,40,43,0,0
2023-04-07 07:39:12.673211,1680853152,167,161,124,125,40,41,0,0
2023-04-07 08:09:12.673211,1680854952,167,168,124,122,40,48,0,0
