timestamp,timestamp_unix,d_6-3,dt_6-3,d_6-5,dt_6-5
2023-04-07 08:10:46.411448,1680855046,198,204,119,141
2023-04-07 08:40:46.411448,1680856846,198,198,119,119
2023-04-07 09:10:46.411448,1680858646,198,212,119,119
2023-04-07 09:40:46.411448,1680860446,198,208,119,140
2023-04-07 10:10:46.411448,1680862246,198,207,119,151
2023-04-07 10:40:46.411448,1680864046,198,208,119,151
2023-04-07 11:10:46.411448,1680865846,198,197,119,139
2023-04-07 11:40:46.411448,1680867646,198,196,119,138
2023-04-07 12:10:46.411448,1680869446,198,199,119,148
2023-04-07 12:40:46.411448,1680871246,198,201,119,152
2023-04-07 13:10:46.411448,1680873046,198,218,119,150
2023-04-07 13:40:46.411448,1680874846,198,220,119,174
2023-04-07 14:10:46.411448,1680876646,198,225,119,180
2023-04-07 14:40:46.411448,1680878446,198,225,119,183
2023-04-07 15:10:46.411448,1680880246,198,215,119,187
2023-04-07 15:40:46.411448,1680882046,198,232,119,180
2023-04-07 16:10:46.411448,1680883846,198,220,119,171
2023-04-07 16:40:46.411448,1680885646,198,222,119,161
2023-04-07 17:10:46.411448,1680887446,198,217,119,144
2023-04-07 17:40:46.411448,1680889246,198,188,119,138
2023-04-07 18:10:46.411448,1680891046,198,186,119,119
2023-04-07 18:40:46.411448,1680892846,198,179,119,114
2023-04-07 19:10:46.411448,1680894646,198,162,119,112
2023-04-07 19:40:46.411448,1680896446,198,166,119,114
2023-04-07 20:10:46.411448,1680898246,198,166,119,115
2023-04-07 20:40:46.411448,1680900046,198,168,119,108
2023-04-07 21:10:46.411448,1680901846,198,155,119,105
2023-04-07 21:40:46.411448,1680903646,198,149,119,100
2023-04-07 22:10:46.411448,1680905446,198,160,119,96
2023-04-07 22:40:46.411448,1680907246,198,142,119,96
2023-04-07 23:10:46.411448,1680909046,198,134,119,99
2023-04-07 23:40:46.411448,1680910846,198,143,119,98
2023-04-08 00:10:46.411448,1680912646,198,139,119,95
2023-04-08 00:40:46.411448,1680914446,198,134,119,96
2023-04-08 01:10:46.411448,1680916246,198,133,119,97
2023-04-08 01:40:46.411448,1680918046,198,128,119,100
2023-04-08 02:10:46.411448,1680919846,198,128,119,97
2023-04-08 02:40:46.411448,1680921646,198,131,119,97
2023-04-08 03:10:46.411448,1680923446,198,135,119,108
2023-04-08 03:40:46.411448,1680925246,198,136,119,101
2023-04-08 04:10:46.411448,1680927046,198,141,119,90
2023-04-08 04:40:46.411448,1680928846,198,150,119,90
2023-04-08 05:10:46.411448,1680930646,198,137,119,89
2023-04-08 05:40:46.411448,1680932446,198,137,119,90
2023-04-08 06:10:46.411448,1680934246,198,163,119,93
