timestamp,point_0,point_1,point_2,point_3,point_4,point_5,point_6
2024-01-01 00:00:00,0.19079837845081754,0.14701570422608456,0.08838397090556391,0.13490055818994387,0.24897782732137605,0.24504153840082094,0.1686180518120776
2024-01-01 00:30:00,0.13749329938354327,0.11727401051155673,0.08420941304354815,0.16007370843329904,0.2116146789006907,0.1816012510853264,0.14314731050138016
2024-01-01 01:00:00,0.36224872688287324,0.14308277543672882,0.09160342440545181,0.11779251212312947,0.1215811484524705,0.16533911516299632,0.2975084832648549
2024-01-01 01:30:00,0.19399624765478424,0.10988292444026763,0.07140304051700723,0.08956182666550057,0.12529019902667224,0.15516467361275557,0.17215453846722695
2024-01-01 02:00:00,0.20773251139104798,0.10075503950579233,0.034211364202992964,0.08401435186497375,0.16670156317667675,0.23710434919883178,0.2031776230529314
2024-01-01 02:30:00,0.20498525864379524,0.1073212170261125,0.04117601944707813,0.04949423265253864,0.1583913763522434,0.24228234272633992,0.17921547409078245
2024-01-01 03:00:00,0.18153310104529619,0.15535264013281738,0.07805284590377545,0.052539115027837,0.09316986633628771,0.13129785302707395,0.11791230373718731
2024-01-01 03:30:00,0.19466630930045564,0.17161515676098832,0.08055904585592172,0.09082722018410272,0.12739745450920756,0.12416873865340597,0.1209145981754916
2024-01-01 04:00:00,0.21671301259715897,0.20173975931579397,0.08033875075219592,0.10384132101514215,0.14797864923716728,0.09040176809535086,0.08399794915963732
2024-01-01 04:30:00,0.1359203296703297,0.14701570422608456,0.119008383711808,0.18364429197498477,0.16371153554460058,0.08604368932038833,0.11120577300352578
2024-01-01 05:00:00,0.2153393862235326,0.20106476430306341,0.13627146742504798,0.2259036711646044,0.22125365295907212,0.13745806693503831,0.1581686955899069
2024-01-01 05:30:00,0.20765545430179577,0.17760538738556464,0.19337769955702402,0.3244242842585621,0.34977542803074657,0.2641758426079406,0.2330089264591868
2024-01-01 06:00:00,0.28819686411149825,0.23366938705276485,0.31671613541894666,0.5062780656368496,0.4773891941590984,0.3659020048938353,0.37348192138545655
2024-01-01 06:30:00,0.3662121415170196,0.3433039052919893,0.5208354698104367,0.7464668627031402,0.7210477343356885,0.5875453863761939,0.5310545465313896
2024-01-01 07:00:00,0.46069585901902976,0.6357252352525733,0.8719532385674633,0.8691878788519577,0.8138409754499181,0.7676217538874417,0.6778554664482317
2024-01-01 07:30:00,0.5168084963816671,0.6338605696548999,0.7873969055817467,0.872393689506661,0.8372291846772972,0.7925117412581895,0.6933715594718611
2024-01-01 08:00:00,0.4283084293755027,0.40995951211741033,0.5613190468336156,0.7239130801183616,0.6741922838309468,0.5180534177914595,0.5276215973667332
2024-01-01 08:30:00,0.42594981238273927,0.34337276388328186,0.4641687692979726,0.6667871297347271,0.643477425974993,0.5587309574552055,0.5348792015207472
2024-01-01 09:00:00,0.4588029348700081,0.3759896598067682,0.3903537245019198,0.5760278469166357,0.6301657278935795,0.5356110387560187,0.5174341507583492
2024-01-01 09:30:00,0.4438454837845082,0.32914391274216626,0.34060939944885404,0.5161050593770318,0.5356536824772251,0.4807971228984135,0.5005712338269204
2024-01-01 10:00:00,0.4952727150897884,0.35072508043449285,0.40588989375949264,0.5300570571114239,0.492390597615223,0.46408950982713715,0.5154007939017531
2024-01-01 10:30:00,0.4630075716965961,0.3741264064808976,0.4564111679541573,0.5673698748689318,0.5527788241374821,0.548241277922488,0.5446252523396947
2024-01-01 11:00:00,0.5216697936210132,0.4394806550672077,0.3927043835321372,0.5286309480883272,0.5879124872654762,0.6408225787354961,0.5979965909672679
2024-01-01 11:30:00,0.5408854864647548,0.41715100104661756,0.3729968648200486,0.517721004137358,0.5609840789529961,0.5877076920041046,0.5760210367568548
2024-01-01 12:00:00,0.48807625301527746,0.37066288374793066,0.3809774706931095,0.5446276752464717,0.5466782042796414,0.5498248677875128,0.5646837777490011
2024-01-01 12:30:00,0.5206848030018763,0.43673071959443815,0.3976539132613623,0.5100855425962783,0.522325285488217,0.5187356934248954,0.5193284259055704
2024-01-01 13:00:00,0.5046519029750738,0.4091066063120396,0.4459852083957981,0.5539569873053432,0.5781254477095152,0.551926947667535,0.4987980633294418
2024-01-01 13:30:00,0.4074594612704369,0.34111210081753407,0.4614871235508173,0.606208064144794,0.620591064787321,0.5639020443602494,0.5009222256687317
2024-01-01 14:00:00,0.38551996783704107,0.32085166726072695,0.4928471710342534,0.6472147508876932,0.6017573701312284,0.5668847186044677,0.5401254830550527
2024-01-01 14:30:00,0.430742428303404,0.4629815078666495,0.5947287661731331,0.6953162235142418,0.6412957163270443,0.6807754163706685,0.6374496533581214
2024-01-01 15:00:00,0.47231807826320027,0.3859548269204769,0.5277081398249606,0.7256330659188576,0.7397138001221393,0.7819155024074513,0.6916348868390525
2024-01-01 15:30:00,0.4516299249530957,0.45270340141231913,0.6069784846618007,0.6976262316606863,0.6903020991894078,0.7535988436340675,0.6592144685800482
2024-01-01 16:00:00,0.48930581613508445,0.4857983838410579,0.6188927629027708,0.7179968568460273,0.6513101572595374,0.7377298918620254,0.7002637918094208
2024-01-01 16:30:00,0.5483566738139909,0.5523023989475206,0.6592917865744201,0.7331191971893253,0.6534062587131722,0.7318947825400585,0.6962648287737355
2024-01-01 17:00:00,0.631164567140177,0.666235500282218,0.7000275826668421,0.7377421048141365,0.6759346903854258,0.7065509314073724,0.7113463102775244
2024-01-01 17:30:00,0.5640394666309301,0.6159843109011784,0.7008637738715389,0.7014654902247144,0.6099601563363648,0.6371181624437603,0.6462452623044567
